Code,Species,Classification,kingdom,phylum,class,order,family,genus,species
UOEL,Strelitzia reginae,Monocots/Commelinids Zingiberales,Plantae,Tracheophyta,Liliopsida,Zingiberales,Strelitziaceae,Strelitzia,Strelitzia reginae
SGTW,Ginkgo biloba,Ginkgoales Ginkgoales,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba
PSJT,Uvaria microcarpa,Magnoliids Magnoliales,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Uvaria,Uvaria microcarpa
KFEB,Haematococcus pluvialis,Chlorophyceae Chlamydomonadales,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Haematococcaceae,Haematococcus,Haematococcus lacustris
EDIT,Sesuvium verrucosum,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium,Sesuvium revolutifolium
BGXB,Plagiomnium insigne,Mosses Bryales,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium,Plagiomnium insigne
RGKI,Leucobryum glaucum,Mosses Dicranales,Plantae,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Leucobryum,Leucobryum glaucum
WOHL,Schlegelia parasitica,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Schlegeliaceae,Schlegelia,Schlegelia parasitica
JMTE,Pseudoscourfieldia marina,prasinophytes Pseudoscourfieldiales,Plantae,Chlorophyta,Prasinophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pseudoscourfieldia,Pseudoscourfieldia marina
HYZL,Akania lucens,CoreEudicots/Rosids Brassicales,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Akaniaceae,Akania,Akania bidwillii
DZPJ,Cylindrocapsa geminella,Chlorophyceae Chlamydomonadales,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Cylindrocapsaceae,Cylindrocapsa,Cylindrocapsa geminella
FOYQ,Microspora cf. tumidula,Chlorophyceae Sphaeropleales,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Microsporaceae,Microspora,Microspora tumidula
YPSN,Noteroclada confluens,Liverworts Pelliales,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Noterocladaceae,Noteroclada,Noteroclada confluens
HERT,Sphaerocarpos texanus,Liverworts Sphaerocarpales,Plantae,Marchantiophyta,Marchantiopsida,Sphaerocarpales,Sphaerocarpaceae,Sphaerocarpos,Sphaerocarpos texanus
OKEF,Hibbertia grossulariifolia,Eudicots unranked,Plantae,Tracheophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Hibbertia,Hibbertia grossulariifolia
COCP,Triglochin maritima,Monocots Alismatales,Plantae,Tracheophyta,Liliopsida,Alismatales,Juncaginaceae,Triglochin,Triglochin maritima
QXSZ,Mantoniella squamata,Mamiellophyceae Mamiellales,Plantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mantoniella,Mantoniella squamata
WOBD,Limonium spectabile,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,Limonium spectabile
NFXV,Mammea americana,CoreEudicots/Rosids Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Mammea,Mammea americana
QIAD,Hymenophyllum bivalve,LeptosporangiateMonilophytes Hymenophyllales,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,Hymenophyllum bivalve
CJNT,Polypodium glycyrrhiza,LeptosporangiateMonilophytes Polypodiales,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,Polypodium glycyrrhiza
CVDF,Simmondsia chinensis,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Simmondsiaceae,Simmondsia,Simmondsia chinensis
TXVB,Lunularia cruciata,Liverworts Lunulariales,Plantae,Marchantiophyta,Marchantiopsida,Lunulariales,Lunulariaceae,Lunularia,Lunularia cruciata
GIOY,Corokia cotoneaster,CoreEudicots/Asterids Asterales,Plantae,Tracheophyta,Magnoliopsida,Asterales,Argophyllaceae,Corokia,Corokia cotoneaster
ATFX,Muntingia calabura,CoreEudicots/Rosids Malvales,Plantae,Tracheophyta,Magnoliopsida,Malvales,Muntingiaceae,Muntingia,Muntingia calabura
ARYD,Oenothera laciniata,CoreEudicots/Rosids Myrtales,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera laciniata
Volca_v2.0,Volvox carteri,Genome Chlorophyceae Chlamydomonadales,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,Volvox,Volvox carteri
OAEZ,Percursaria percursa,Ulvophyceae Ulvales,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Percursaria,Percursaria percursa
MQIV,Phyla dulcis,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lippia,Lippia dulcis
LHSH,Punica granatum,CoreEudicots/Rosids Myrtales,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Punica,Punica granatum
IUSR,Myriophyllum aquaticum,CoreEudicots Saxifragales,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum
CKDK,Ochna serrulata,CoreEudicots/Rosids Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,Ochna,Ochna serrulata
AXBO,Sinojackia xylocarpa,CoreEudicots/Asterids Ericales,Plantae,Tracheophyta,Magnoliopsida,Ericales,Styracaceae,Sinojackia,Sinojackia xylocarpa
AUIP,Phelline lucida,CoreEudicots/Asterids Asterales,Plantae,Tracheophyta,Magnoliopsida,Asterales,Phellinaceae,Phelline,Phelline lucida
PZIF,Acutodesmus dimorphus,Chlorophyceae Sphaeropleales,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetradesmus,Tetradesmus dimorphus
SIZE,Passiflora caerulea,CoreEudicots/Rosids Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora caerulea
HAEU,Berberidopsis beckleri,Eudicots Berberidopsidales,Plantae,Tracheophyta,Magnoliopsida,Berberidopsidales,Berberidopsidaceae,Berberidopsis,Berberidopsis beckleri
OWAS,Rehmannia glutinosa,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Rehmanniaceae,Rehmannia,Rehmannia glutinosa
IXVJ,Menyanthes trifoliata,CoreEudicots/Asterids Asterales,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,Menyanthes,Menyanthes trifoliata
VKGP,Geranium carolinianum,CoreEudicots/Rosids Geraniales,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium carolinianum
XDVM,Sticherus lobatus,LeptosporangiateMonilophytes Gleicheniales,Plantae,Tracheophyta,Polypodiopsida,Gleicheniales,Gleicheniaceae,Sticherus,Sticherus lobatus
NNGU,Coriaria nepalensis,CoreEudicots/Rosids Cucurbitales,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Coriariaceae,Coriaria,Coriaria nepalensis
IKFD,Quassia amara,CoreEudicots/Rosids Sapindales,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Quassia,Quassia amara
VYGG,Stachyurus praecox,CoreEudicots/Rosids Crossosomatales,Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,Stachyuraceae,Stachyurus,Stachyurus praecox
JMUI,Stigeoclonium helveticum,Chlorophyceae Chaetophorales,Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Stigeoclonium,Stigeoclonium helveticum
GRRW,Grevillea robusta,Eudicots Proteales,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Grevillea,Grevillea robusta
OPDF,Saururus cernuus,Magnoliids Piperales,Plantae,Tracheophyta,Magnoliopsida,Piperales,Saururaceae,Saururus,Saururus cernuus
FFPD,Ceratodon purpureus,Mosses Dicranales,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ceratodon,Ceratodon purpureus
TRLB,Portulaca oleracea,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea
ZRIN,Uncarina grandidieri,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Pedaliaceae,Uncarina,Uncarina grandidieri
DWZT,Sagittaria latifolia,Monocots Alismatales,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria latifolia
XONJ,Camptotheca acuminata,CoreEudicots/Asterids Cornales,Plantae,Tracheophyta,Magnoliopsida,Cornales,Nyssaceae,Camptotheca,Camptotheca acuminata
XPBC,Galphimia gracilis,CoreEudicots/Rosids Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Galphimia,Galphimia gracilis
LHLE,Cystopteris fragilis,LeptosporangiateMonilophytes Polypodiales,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris fragilis
HRWG,Buxbaumia aphylla,Mosses Buxbaumiales,Plantae,Bryophyta,Bryopsida,Buxbaumiales,Buxbaumiaceae,Buxbaumia,Buxbaumia aphylla
SART,Xeronema callistemon,Monocots Asparagales,Plantae,Tracheophyta,Liliopsida,Asparagales,Xeronemataceae,Xeronema,Xeronema callistemon
COAQ,Malesherbia fasciculata,CoreEudicots/Rosids Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malesherbiaceae,Malesherbia,Malesherbia fasciculata
Musac_v1.0,Musa acuminata,Genome Zingiberales,Plantae,Tracheophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa acuminata
ECTD,Gentiana acaulis,CoreEudicots/Asterids Gentianales,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana acaulis
EWXK,Thyrsopteris elegans,LeptosporangiateMonilophytes Cyatheales,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Thyrsopteridaceae,Thyrsopteris,Thyrsopteris elegans
DCCI,Calceolaria pinifolia,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Calceolariaceae,Calceolaria,Calceolaria pinifolia
Poptr_v3.0,Populus trichocarpa,Genome Malpighiales,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus trichocarpa
YZVJ,Cephalotus follicularis,CoreEudicots/Rosids Oxalidales,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Cephalotaceae,Cephalotus,Cephalotus follicularis
GIPR,Aucuba japonica,CoreEudicots/Asterids Garryales,Plantae,Tracheophyta,Magnoliopsida,Garryales,Garryaceae,Aucuba,Aucuba japonica
QACK,Helwingia japonica,CoreEudicots/Asterids Aquifoliales,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Helwingiaceae,Helwingia,Helwingia japonica
JMXW,Bryum argenteum,Mosses Bryales,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,Bryum argenteum
TMAJ,Neckera douglasii,Mosses Hypnales,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Neckera,Neckera douglasii
RBYC,Elaeagnus pungens,CoreEudicots/Rosids Rosales,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,Elaeagnus pungens
YBQN,Odontoschisma prostratum,Liverworts Jungermanniales,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma,Odontoschisma sphagni
YQIJ,Phacelia campanularia,CoreEudicots/Asterids Boraginales,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia campanularia
XQWC,Michelia maudiae,Magnoliids Magnoliales,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia maudiae
BSNI,Anthoceros agrestis,Hornworts Anthocerotales,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros,Anthoceros agrestis
STKY,Balanophora fungosa,CoreEudicots Santalales,Plantae,Tracheophyta,Magnoliopsida,Santalales,Balanophoraceae,Balanophora,Balanophora fungosa
AZBL,Petiveria alliacea,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Petiveria,Petiveria alliacea
OTAN,Deutzia scabra,CoreEudicots/Asterids Cornales,Plantae,Tracheophyta,Magnoliopsida,Cornales,Hydrangeaceae,Deutzia,Deutzia scabra
NAUM,Ipomoea lindheimeri,CoreEudicots/Asterids Solanales,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea lindheimeri
GYBH,Codium fragile,Ulvophyceae Bryopsidales,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,Codium fragile
KTAR,Chionanthus retusus,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Chionanthus,Chionanthus retusus
XKPS,Ximenia americana,CoreEudicots Santalales,Plantae,Tracheophyta,Magnoliopsida,Santalales,Ximeniaceae,Ximenia,Ximenia americana
QKMG,Phoradendron serotinum,CoreEudicots Santalales,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,Phoradendron leucarpum
UNSW,Mollugo nudicaulis,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Molluginaceae,Paramollugo,Paramollugo nudicaulis
WZFE,Ascarina rubricaulis,Chloranthales Chloranthales,Plantae,Tracheophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Ascarina,Ascarina rubricaulis
GRKU,Syntrichia princeps,Mosses Pottiales,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,Syntrichia princeps
VZWX,Ceramium kondoi,Rhodophyta,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium kondoi
IRBN,Scapania nemorosa,Liverworts Jungermanniales,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Scapania,Scapania nemorea
NRWZ,Metzgeria crassipilis,Liverworts Metzgeriales,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,Metzgeria crassipilis
CCID,Akebia trifoliata,Eudicots Ranunculales,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Lardizabalaceae,Akebia,Akebia trifoliata
UCRN,Megaceros flagellaris,Hornworts Dendrocerotales,Plantae,Anthocerotophyta,Anthocerotopsida,Dendrocerotales,Dendrocerotaceae,Megaceros,Megaceros flagellaris
LNSF,Stereodon subimponens,Mosses Hypnales,Plantae,Bryophyta,Bryopsida,Hypnales,Stereodontaceae,Stereodon,Stereodon subimponens
AALA,Meliosma cuneifolia,Eudicots unranked,Plantae,Tracheophyta,Magnoliopsida,Proteales,Sabiaceae,Meliosma,Meliosma cuneifolia
RDOO,Racomitrium varium,Mosses Grimmiales,Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Frisvollia,Frisvollia varia
Ambtr_v1.0.27,Amborella_trichopoda,Genome Amborellales,Plantae,Tracheophyta,Magnoliopsida,Amborellales,Amborellaceae,Amborella,Amborella trichopoda
YJJY,Woodsia scopulina,LeptosporangiateMonilophytes Polypodiales,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Physematium,Physematium scopulinum
RUUB,Physena madagascariensis,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Physenaceae,Physena,Physena madagascariensis
AZZW,Chlorokybus atmophyticus,Streptophyta Chlorokybales,Plantae,Charophyta,Chlorokybophyceae,Chlorokybales,Chlorokybaceae,Chlorokybus,Chlorokybus atmophyticus
LNIL,Pteromonas angulosa,Chlorophyceae Chlamydomonadales,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Phacotaceae,Pteromonas,Pteromonas angulosa
VQFW,Platanus occidentalis,Eudicots Proteales,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus occidentalis
ZULJ,Pyropia yezoensis,Rhodophyta,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis
UGPM,Chondrus crispus,Rhodophyta,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus
UWFU,Itea virginica,CoreEudicots Saxifragales,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Iteaceae,Itea,Itea virginica
